,Country Code,year,pib,total_medals
0,ARG,1960,0.002857249454655023,2
1,AUS,1960,0.0007206952148931485,22
2,AUT,1960,0.0002484413038799288,9
3,BEL,1960,0.0004475821354758575,4
4,BRA,1960,0.002857249454655023,2
5,CAN,1960,0.0015798009752882936,6
6,ESP,1960,0.0004638326381348944,1
7,ETH,1960,0.002857249454655023,1
8,FIN,1960,0.00019464325181756906,14
9,FRA,1960,0.002435313792905035,8
10,GBR,1960,0.002868047182309752,20
11,GHA,1960,3.740077724248441e-05,1
12,HUN,1960,0.002857249454655023,24
13,IND,1960,0.0014448986542742101,1
14,IRQ,1960,5.548196654075773e-05,1
15,ITA,1960,0.0015767964521549193,39
16,JPN,1960,0.0017309687347096005,18
17,MAR,1960,6.93673409404392e-05,1
18,MEX,1960,0.0005018788529797813,1
19,NOR,1960,0.00019225205817356486,8
20,NZL,1960,0.00020493250051757065,3
21,PAK,1960,0.00013666878756487703,2
22,POL,1960,0.002857249454655023,24
23,ROU,1960,0.002857249454655023,10
24,SGP,1960,1.6991828910177416e-05,1
25,SWE,1960,0.0006112596569466189,14
26,TUR,1960,0.0002867272607896147,9
27,USA,1960,0.021345901375773534,83
28,VEN,1960,0.00029055091744871757,1
29,ARG,1964,0.0036863800308798655,1
30,AUS,1964,0.0009248885218747984,18
31,AUT,1964,0.00034975215466235784,14
32,BEL,1964,0.0006166655037188766,3
33,BRA,1964,0.0036863800308798655,1
34,CAN,1964,0.0019302727459406136,9
35,CUB,1964,0.0036863800308798655,1
36,ETH,1964,0.0036863800308798655,1
37,FIN,1964,0.0002945886176945646,15
38,FRA,1964,0.003684649023940336,23
39,GBR,1964,0.003700361142604394,21
40,GHA,1964,5.7719686079301085e-05,1
41,HUN,1964,0.0036863800308798655,22
42,IND,1964,0.0022094758467690245,1
43,IRL,1964,9.804150051557547e-05,1
44,ITA,1964,0.0024726550034227506,35
45,JPN,1964,0.0032027653549505063,29
46,KEN,1964,2.854899284675247e-05,1
47,KOR,1964,0.00012525952641751647,3
48,MEX,1964,0.0007786146402548313,1
49,NOR,1964,0.00027071023524864973,15
50,NZL,1964,0.00027522848332201845,6
51,PAK,1964,0.00019389062895930397,1
52,POL,1964,0.0036863800308798655,23
53,PRK,1964,0.0036863800308798655,1
54,ROU,1964,0.0036863800308798655,13
55,SWE,1964,0.000875016839124324,17
56,TTO,1964,1.727256114166227e-05,3
57,TUN,1964,0.0036863800308798655,2
58,TUR,1964,0.00042867664662356623,6
59,USA,1964,0.026947442524451748,102
60,ARG,1968,0.00445883479621947,2
61,AUS,1968,0.0012752486635220549,17
62,AUT,1968,0.00047831799702579376,17
63,BEL,1968,0.0008295730634713037,3
64,BRA,1968,0.00445883479621947,4
65,CAN,1968,0.0028128510828056754,8
66,CMR,1968,3.0413495626274717e-05,1
67,CUB,1968,0.00445883479621947,4
68,ETH,1968,0.00445883479621947,2
69,FIN,1968,0.00033611387584354415,9
70,FRA,1968,0.00509103249876659,25
71,GBR,1968,0.004225229546624554,14
72,HUN,1968,0.00445883479621947,35
73,IND,1968,0.0020760281082577957,1
74,ITA,1968,0.0034462152240261608,22
75,JAM,1968,3.189339980703648e-05,1
76,JPN,1968,0.005752039165327091,25
77,KEN,1968,4.248547487003857e-05,9
